procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 536696 156548  55440 1677960    5  256   857  1477 1286 2969 58  3 36  3  0
 3  2 536680 150292  55456 1690692    5  224    66   541 1254 3054 60  4 35  2  0
 5  0 536660 140284  55732 1704788    3    0   105   325 1457 3890 63  4 30  2  0
 3  0 536640 177524  55764 1696404    1    0    84   591 1286 3125 53  3 41  3  0
 1  0 537336 185548  55788 1695804    9   53    73   565  930 2206 42  2 54  2  0
 2  0 537308 180940  55804 1707748   10   53    74   299 1073 2811 47  3 50  0  0
 1  0 537280 190488  55812 1698040    4    0     8   202  875 2046 41  2 57  0  0
 1  0 537264 197196  55828 1697496    3    0    13   255  556  965 30  1 69  0  0
 1  0 537244 183184  55836 1708300    2    0     8   245  605 1229 33  1 66  0  0
 1  0 537216 192376  55852 1698208    6    0     7    10  644 1316 34  1 64  0  0
 0  0 545120 140564  49808 1730380   10  529  6425   791  775 1942 25  2 63 10  0
 0  0 545100 175008  52484 1727420    8  529  6639  1002  829 2563 18  3 68 11  0
 1  0 545024 160732  52492 1741852   10    0   229   254  607 2194 15  2 81  1  0
 0  0 545000 164656  52504 1732816   10    0    11   151  419 1829  9  2 89  0  0
 0  0 544944 154860  52520 1730616    7    0   275   126  290 1355  4  1 94  1  0
 0  0 544928 144708  52548 1740700    7    0   275   125  330 1298  6  1 92  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 544916 158060  52612 1740596    3    0     8   117  401 1503 10  1 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 546480 138508  48300 1732312    6  107    47   203  490 1961 12  2 83  2  0
 0  0 548012 135004  46840 1709768    7  210    58   367  658 2265 16  3 80  2  0
 2  0 548088 128416  46936 1708964    5  110   193   206  765 2324 20  2 76  1  0
 0  0 548020 113584  46964 1713428   11    6   186   253  603 2144 18  2 79  1  0
 1  0 548000 116528  46972 1713396    9    0    11   221  456 1967 14  1 84  1  0
 4  0 548860 107044  46984 1699868    5   59     5   214  643 2602 21  2 77  0  0
 0  0 551040 121308  42008 1700288    7  206    22   379  801 2920 26  3 71  1  0
 3  0 551012 111596  42020 1696004    6  146    55   175  712 2773 22  3 74  1  0
 1  0 551000 118120  42064 1698508    2    0    99   185  679 2810 22  4 73  1  0
 0  0 550972 153052  42072 1703304    1    0    66   203  702 2846 23  3 73  0  0
 0  0 550940 154172  42096 1691888    4    0     8   206  541 2140 16  2 82  0  0
